MatchID;Champ Name;win;effectiveHealAndShielding;largestKillingSpree;largestMultiKill;timeCCingOthers;totalDamageDealtToChampions;physicalDamageDealtToChampions;magicDamageDealtToChampions;trueDamageDealtToChampions;totalDamageDealt;physicalDamageDealt;magicDamageDealt;trueDamageDealt;damageDealtToTurrets;damageDealtToObjectives;totalHeal;totalDamageTaken;physicalDamageTaken;magicDamageTaken;trueDamageTaken;damageSelfMitigated;goldSpent;totalMinionsKilled;neutralMinionsKilled;visionScore;wardsPlaced;wardsKilled;visionWardsBoughtInGame;turretKills;inhibitorKills
EUW1_7218122610;TahmKench;0;821.3684692382812;9;2;45;25323;5510;19536;276;125007;26906;95706;2394;6305;6646;14286;52813;27592;21056;4164;59600;14250;186;0;19;10;1;0;2;0
EUW1_7218122610;Shaco;0;0.0;2;1;26;11798;4540;5059;2198;230204;67470;92140;70592;0;38103;14882;31060;17523;11127;2409;23457;10225;11;148;14;1;2;1;0;0
EUW1_7218122610;Ambessa;0;0.0;3;1;20;35347;34775;0;572;190257;187871;0;2385;9985;15231;6741;31768;12050;17189;2528;46777;14150;211;4;19;6;4;0;3;0
EUW1_7218122610;Viktor;0;0.0;7;2;22;36697;966;35731;0;213107;11038;197327;4741;4498;10673;1153;18224;5789;10354;2081;15073;13000;248;8;12;5;5;0;1;0
EUW1_7218122610;Rell;0;0.0;0;1;43;9410;2056;6582;771;16284;4725;8654;2904;429;429;115;29862;7413;20595;1853;24827;7700;21;0;101;49;6;10;0;0
EUW1_7218122610;Olaf;1;0.0;4;2;13;21506;15657;0;5848;156079;140957;0;15121;4861;6593;12284;30287;12167;17754;365;23619;9175;187;4;11;7;0;0;2;0
EUW1_7218122610;Taliyah;1;0.0;5;3;46;44006;2172;38691;3142;322962;13753;258442;50764;2937;18530;10668;30401;15413;14031;956;15014;13975;60;190;28;4;6;3;1;1
EUW1_7218122610;Galio;1;2191.30712890625;2;1;51;16768;257;16420;89;127992;9323;117360;1308;7898;8801;3052;38140;26342;10601;1196;59578;11100;188;0;10;4;0;2;2;0
EUW1_7218122610;KogMaw;1;0.0;3;2;8;30638;14274;12296;4067;174099;92822;67841;13435;3839;11163;6088;27839;14147;11841;1850;14366;13400;215;4;16;10;3;0;1;0
EUW1_7218122610;Sona;1;22512.1328125;3;1;23;15986;4507;10905;573;32663;8176;21958;2528;1792;3648;24771;21336;6597;14605;134;10887;8550;23;0;73;43;2;0;1;0
EUW1_7217415252;Jax;0;0.0;0;1;12;10471;4697;5643;130;94360;60145;33415;799;2008;2895;3995;34705;14505;18057;2142;17809;8433;177;2;22;9;6;2;0;0
EUW1_7217415252;Viego;0;0.0;0;1;26;15934;13031;1260;1643;172083;121387;5258;45437;0;15576;16661;40946;25144;13642;2159;21692;8975;5;137;28;6;4;7;0;0
EUW1_7217415252;Syndra;0;0.0;4;1;32;21263;713;18354;2195;146051;9545;130967;5538;907;1467;1896;19982;9013;10235;733;8453;12450;235;8;45;14;7;4;0;0
EUW1_7217415252;Ezreal;0;0.0;2;1;0;27286;18636;8572;78;143239;117226;21713;4299;4424;4424;3926;22010;14132;7261;616;10644;10883;195;0;17;9;4;0;2;0
EUW1_7217415252;Lux;0;2789.5732421875;0;1;53;9592;2611;6268;711;20510;5339;14077;1092;0;0;2015;24513;15077;8774;660;19791;6725;20;0;71;31;5;5;0;0
EUW1_7217415252;Vladimir;1;0.0;9;4;5;31505;1584;29864;56;159811;13360;139511;6940;2582;7912;32947;26382;17927;7660;794;13563;11625;201;4;32;12;3;3;2;0
EUW1_7217415252;Kindred;1;1578.06298828125;6;3;10;25606;19297;4496;1812;270775;167741;30446;72588;6560;51155;19470;33466;22356;10010;1099;17851;11883;18;159;20;4;4;2;1;0
EUW1_7217415252;Ziggs;1;0.0;0;1;17;21422;920;20428;72;156514;12068;127803;16643;3127;4315;1686;13825;5338;7753;733;5885;8900;206;0;21;9;5;0;2;2
EUW1_7217415252;Jhin;1;0.0;6;2;19;19060;18971;88;0;166095;162774;2732;588;7082;14678;3846;16796;9153;7335;307;7407;11475;217;0;21;7;6;0;4;0
