MatchID;Champ Name;win;effectiveHealAndShielding;largestKillingSpree;largestMultiKill;timeCCingOthers;totalDamageDealtToChampions;physicalDamageDealtToChampions;magicDamageDealtToChampions;trueDamageDealtToChampions;totalDamageDealt;physicalDamageDealt;magicDamageDealt;trueDamageDealt;damageDealtToTurrets;damageDealtToObjectives;totalHeal;totalDamageTaken;physicalDamageTaken;magicDamageTaken;trueDamageTaken;damageSelfMitigated;goldSpent;totalMinionsKilled;neutralMinionsKilled;visionScore;wardsPlaced;wardsKilled;visionWardsBoughtInGame;turretKills;inhibitorKills
KR_7400249665;Sylas;0;0;0;1;15;12405;1014;11391;0;45075;4752;37717;2605;0;0;3369;20550;8317;10536;1696;10221;4350;74;0;3;2;0;0;0;0
KR_7400249665;Zed;0;0;5;1;5;6209;5496;235;477;129617;69514;21069;39033;0;11111;8282;15175;10977;3934;263;7047;5800;11;102;13;3;2;2;0;0
KR_7400249665;Zeri;0;0;0;1;4;8869;6000;2650;218;75733;37169;7467;31096;808;808;1207;12130;3423;7203;1503;4343;6225;104;0;7;4;0;0;0;0
KR_7400249665;Ziggs;0;0;0;1;8;7313;567;6745;0;57447;7369;49934;144;762;762;0;5400;3021;1504;874;1661;5000;113;0;11;5;2;2;0;0
KR_7400249665;Pyke;0;0;2;1;14;4117;3726;0;390;12043;8498;0;3544;0;0;760;7373;3343;3474;555;3303;4150;19;0;20;11;1;2;0;0
KR_7400249665;Alistar;1;2901.345458984375;2;1;24;3922;750;2675;496;14412;4636;3247;6528;918;918;4120;10420;5700;4330;389;9808;4825;24;0;32;13;3;5;1;0
KR_7400249665;Shaco;1;0;0;1;6;4189;2181;1276;731;87995;35460;18151;34382;84;23915;9895;17097;13655;3188;254;7074;3950;1;81;15;4;0;3;0;0
KR_7400249665;Kassadin;1;0;0;1;3;12291;3529;8158;604;51151;17418;29667;4065;1749;1749;1675;16304;6849;9318;137;10023;5400;88;0;6;3;1;0;0;0
KR_7400249665;Vayne;1;0;2;1;5;8317;6746;0;1571;50400;44276;0;6124;2621;2621;2937;9633;6439;3031;162;4179;5875;121;0;11;5;1;2;0;0
KR_7400249665;Aurora;1;0;9;3;10;16440;1926;13023;1490;77315;11793;62374;3148;2950;2950;1704;9908;7290;2473;144;4158;8775;134;0;9;6;1;3;0;0
KR_7400196100;Blitzcrank;1;1581.095458984375;3;2;56;14115;3523;9758;834;24009;6684;13006;4318;76;1517;3676;38723;23232;13977;1512;42261;9210;25;0;88;36;7;8;1;0
KR_7400196100;Corki;1;0;5;2;3;35153;21076;9774;4301;194648;102662;72645;19340;4149;10831;4757;37733;21674;14869;1190;20574;12408;201;7;18;8;3;4;0;0
KR_7400196100;Teemo;1;0;5;2;49;37120;4270;30764;2084;180716;36621;137679;6416;1616;13272;2835;33445;22627;10437;380;18804;12350;195;12;31;14;4;2;1;0
KR_7400196100;Illaoi;1;0;0;1;5;31918;31456;0;462;312060;309732;0;2328;20224;20224;11394;40836;19384;20955;496;31682;16683;299;0;13;8;1;0;7;2
KR_7400196100;Diana;1;0;3;1;17;31613;3924;25935;1754;314530;43878;228444;42207;0;13607;14278;38013;25668;11795;549;41671;14650;26;188;30;5;6;4;0;0
KR_7400196100;Aurora;0;0;2;2;16;40031;2157;37445;429;178741;19924;155240;3576;4438;11156;4636;35351;21865;12196;1290;19901;13925;204;12;33;7;6;3;1;0
KR_7400196100;LeeSin;0;532.6603393554688;5;2;20;16421;11342;3697;1381;200747;95303;41109;64333;1379;38191;15753;39786;21872;16313;1600;35601;12425;27;124;32;13;3;3;2;1
KR_7400196100;Thresh;0;3278.123046875;0;1;42;14166;1865;10949;1352;36158;8358;23890;3909;1713;4606;7728;36504;19203;14280;3020;43610;9300;34;4;49;18;5;2;0;0
KR_7400196100;Ambessa;0;0;8;3;20;26065;25686;0;378;151813;144252;0;7561;9499;12870;11381;42280;19425;21584;1271;51495;14350;185;5;18;4;2;4;2;0
KR_7400196100;Ezreal;0;0;6;2;6;58742;41944;16210;588;238017;195332;40466;2218;9661;29181;7064;32770;15516;14998;2254;18062;14273;229;2;25;9;5;0;3;0
KR_7400110781;Lucian;0;0;0;1;1;16809;14730;2079;0;98678;90615;7109;954;3724;3724;4963;30859;16250;12282;2326;15641;9175;134;0;15;9;2;1;2;0
KR_7400110781;Warwick;0;0;10;3;46;36409;16519;18881;1008;226044;124838;57533;43670;1104;26092;26327;41351;20353;16826;4171;37396;15725;39;123;33;7;5;7;1;1
